,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
13622,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-09-07,4.02E+12,['35'],4.01E+12,TILL THIS MOMENT
13623,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-06-26,4.02E+12,['35'],4.01E+12,리송 리송 Lisong
13624,2448104572,['특허법인 광장리앤고'],['주식회사 신세계'],2017-06-26,4.02E+12,"['03', '21', '35', '44']",4.01E+12,지종 지종 Jijong
13625,2448104572,['조철현'],['주식회사 신세계'],2006-09-29,4.12E+12,['42'],,신세계센텀
13626,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2015-11-16,4.12E+12,['42'],4.10E+12,SHINSEGAE SHOPPING
13627,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-06-11,4.02E+12,['14'],4.02E+12,XYTS
13628,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2018-10-16,4.02E+12,"['03', '09', '14', '18', '25', '35', '36', '43']",4.02E+12,SHINSEGAE
13629,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-06-11,4.02E+12,['32'],4.02E+12,XYTS 엑시츠
13630,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2015-11-16,4.12E+12,['38'],4.10E+12,SHINSEGAE SHOPPING
13631,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-07-17,4.02E+12,['43'],4.02E+12,SSG
13632,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-07-16,4.02E+12,['28'],4.02E+12,SSG
13633,2448104572,"['조철현', '고승호']",['주식회사 신세계'],1994-11-15,5.02E+12,['051'],4.00E+12,공작 PEACOCK
13634,2448104572,['조철현'],['주식회사 신세계'],2006-08-28,4.12E+12,['41'],4.10E+12,shinsegae portia
13635,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-07-16,4.02E+12,['09'],4.02E+12,SSG
13636,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-07-16,4.02E+12,['10'],4.02E+12,SSG
13637,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-07-16,4.02E+12,['04'],4.02E+12,SSG
13638,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2021-09-17,4.02E+12,['43'],,한밭대식당
13639,2448104572,['조철현'],['주식회사 신세계'],2010-02-17,4.02E+12,['26'],4.01E+12,Miles Davis
13640,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2021-07-23,4.02E+12,['30'],,오래움 Horreum
13641,2448104572,['조철현'],['주식회사 신세계'],2000-06-12,4.02E+12,['30'],,E-MART Clean Vegetable
13642,2448104572,['조철현'],['주식회사 신세계'],2006-09-25,4.02E+12,['14'],,Marquee
13643,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-12-18,4.02E+12,['30'],,E MART MAKE A HAPPY CHOICE
13644,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-03-23,4.02E+12,['38'],4.01E+12,SHINSEGAE Fooding Plus Fooding +
