BusinessNum,PublicationAgency,MergedText
1052709624,(주)영진산업,친환경 고속합지 벽지용 수성접착제 및 One step 제조공정 개발 대한민국 1425063989.0 친환경 고속합지 벽지용 수성접착제 및 One step 제조공정 개발 이미자
1078601381,(주)나무소프트,상거래 정보유출 방지를 위한 POS용 보안클라우드 서비스 개발 사업 대한민국 1425101770.0 상거래 정보유출 방지를 위한 POS용 보안클라우드 서비스 개발 사업 우종현
5658601964,에스알유니버스,오디오 콘텐츠 창작 자동화 및 생산성 제고를 위한 개인화된 인공지능 음성합성 기술 개발 대한민국 1425118734.0 오디오 콘텐츠 창작 자동화 및 생산성 제고를 위한 개인화된 인공지능 음성합성 기술 개발 배지우
1358101705,유비넷시스,양방향 DC/DC 컨버터를 이용한 전기차량용 고효율 에너지 저장장치 개발 대한민국 1425112814.0 양방향 DC/DC 컨버터를 이용한 전기차량용 고효율 에너지 저장장치 개발 이주용
3148100117,(주)에드모텍,U/VHF 대역의 고속 가변필터 개발 대한민국 1425128531.0 U/VHF대역의 고속 가변필터 개발 구본희
3148100117,(주)에드모텍,고출력 레이다 수신기 보호용 CIL 모듈개발 대한민국 1711065448.0 고출력 레이다 수신기 보호용 CIL 모듈개발 이창화
3148100117,(주)에드모텍,비정렬요인에 Robust한 고출력 아이솔레이터 자동조립장치 개발 대한민국 1425051414.0 비정렬요인에 Robust한 고출력 아이솔레이터 자동조립장치 개발 전오곤
3148100117,(주)에드모텍,800MHz ~ 2700MHz 범위의 고출력 대역가변필터 개발 대한민국 1425072587.0 800MHz ~ 2700MHz 범위의 고출력 대역가변필터 개발 구본희
3148100117,(주)에드모텍,높은 주파수 선택도를 갖는 VHF/UHF 대역의 고성능 광대역 필터 개발 대한민국 1425131844.0 높은 주파수 선택도를 갖는 VHF/UHF 대역의 고성능 광대역 필터 개발 구본희
3148100117,(주)에드모텍,UWB High Band 차량측후방 레이더센서 개발 대한민국 1425061427.0 UWB High Band 차량측후방 레이더센서 개발 구본희
3148100117,(주)에드모텍,SLQ-200(V)1K의 핀 다이오드 스위치 국산화 개발 대한민국 1425072489.0 SLQ-200(V)1K의 핀 다이오드 스위치 국산화 개발 구본희
1098602476,케이넷,중소기업의 자금관리와 경영현황 분석 및 조회를 위한 모바일 어플리케이션(ECMS) 개발 대한민국 1425129094.0 중소기업의 자금관리와 경영현황 분석 및 조회를 위한 모바일 어플리케이션(ECMS) 개발 이천호
1098602476,케이넷,국세청 홈택스 통합자료관리를 위한 중소기업 기간시스템 연동형 OpenAPI 플랫폼 개발 대한민국 1425101736.0 국세청 홈택스 통합자료관리를 위한 중소기업 기간시스템 연동형 OpenAPI플랫폼 개발 이천호
6030502326,에스케이텔레콤(주),통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 대한민국 1711029261.0 통신장비에 적용을 위한 양자이론 기반의 퀀텀리피터 기술연구 곽승환
1218100365,인찬,One 보드 다기능 멀티 비디오컨트롤 O2O 시스템 개발 대한민국 1415160298.0 One 보드 다기능 멀티 비디오컨트롤 O2O 시스템 개발 황은규
1238600996,(주)내외정보기술,산업용 압출 성형 산업에 적합한 전사적 통합 업무 관리 프로세스 개발 대한민국 1425055562.0 산업용 압출 성형 산업에 적합한 전사적 통합 업무 관리 프로세스 개발 정익재
4328707527,스트리미,블록체인 상의 최적 경로를 통한 실시간 가치 이전성사 대한민국 1425107213.0 블록체인 상의 최적 경로를 통한 실시간 가치 이전 성사 이준행
3038100130,우진(주),원전 주급수유량 정밀측정용 초음파유량계(Spool Piece Type) 국산화 개발 대한민국 1425066597.0 원전 주급수유량 정밀측정용 초음파유량계(Spool Piece Type) 국산화 개발 유계현
3038100130,(주)우진,전로 및 전기로 출강구 슬래그 유출방지 시스템 대한민국 1415152294.0 전로 및 전기로 출강구 슬래그 유출 방지 시스템 강용운
3038100130,(주)우진,환경개선용 고규소 내산주철 재료설계 및 양산기술 대한민국 1480000266.0 환경개선용 고규소 내산주철 재료설계 및 양산기술 백승한
3038100130,(주)우진,원자력 안전등급(Class 1E) 무기절연 케이블 집합체 국산화 기술 개발 대한민국 1415125963.0 원자력 안전등급(Class 1E) 무기절연 케이블 집합체 국산화기술 개발 박희준
