,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
32688,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2020-01-30,A,2020503028
32689,1178101784,1.02E+12,61726830,CN,2017-08-31,A,2.02E+11,CN,2018-07-10,A,108265115
32690,1178101784,1.02E+12,65367755,US,2019-02-11,A,2.02E+11,US,2021-05-20,A1,2021147939
32691,1178101784,1.02E+12,65367755,JP,2019-02-11,A,2020543378,JP,2021-06-10,A,2021514186
32692,1178101784,1.02E+12,76140135,KR,2021-02-19,A,20210022757,KR,2021-12-23,A,20210155745
32693,1178101784,1.02E+12,67775762,EP,2019-02-20,A,19745027,EP,2019-11-13,A1,3567125
32694,1178101784,1.02E+12,56126893,EP,2015-12-10,A,15870243,EP,2017-10-25,A1,3235910
32695,1178101784,1.02E+12,67951430,KR,2020-05-26,A,20200063160,KR,2020-06-15,B1,102122894
32696,1178101784,1.02E+12,61531409,US,2017-08-09,A,2.02E+11,US,2019-07-11,A1,2019209628
32697,1178101784,1.02E+12,70291099,EP,2019-08-13,A,19907069,EP,2021-11-24,A1,3912631
32698,1178101784,1.02E+12,70291099,CN,2019-08-13,A,2.02E+11,CN,2021-08-13,A,113260372
32699,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2021-08-04,B2,6914551
