BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
6158103311,1020000000000.0,55582675.0,KR,2016-09-09,W,2016010202,WO,2017-03-16,A1,2017043933
3058509758,1020000000000.0,53873564.0,KR,2015-07-01,W,2015006776,WO,2016-04-07,A1,2016052839
4218806534,1020000000000.0,66849428.0,CN,2018-11-22,A,2.02E+11,CN,2020-07-07,A,111386531
4288602927,1020000000000.0,70055634.0,KR,2019-10-04,W,2019090001,WO,2020-04-09,A1,2020071890
1358604338,1020000000000.0,66581138.0,KR,2019-12-23,W,2019018347,WO,2020-07-02,A1,2020138897
1798802366,1020000000000.0,61562663.0,JP,2017-09-08,A,2018563148,JP,2019-11-14,A,2019533406
1208601253,1020000000000.0,55445614.0,US,2015-04-29,A,2.02E+11,US,2016-09-22,A1,2016275446
3138100360,1020000000000.0,50648389.0,KR,2014-12-15,W,2014012367,WO,2015-06-25,A1,2015093804
2158608076,1020000000000.0,47296582.0,KR,2012-06-07,W,2012004453,WO,2013-04-04,A3,2012169775
1100406632,1020000000000.0,60243306.0,US,2018-03-15,A,2.02E+11,US,2018-07-19,A1,2018202101
6218105896,1020000000000.0,39218326.0,CN,2006-12-14,A,2.01E+11,CN,2009-12-30,A,101616577
2108106546,1020000000000.0,57126052.0,KR,2015-10-30,A,20177009074,KR,2017-04-19,A,20170042799
1728804419,1020000000000.0,68837395.0,KR,2019-08-27,W,2019010929,WO,2020-03-26,A1,2020060058
1208104337,1020000000000.0,36218840.0,FR,2005-11-10,A,511438,FR,2006-05-12,A1,2877749
1208100350,1020000000000.0,67846245.0,KR,2019-01-14,W,2019000526,WO,2019-09-12,A1,2019172520
2138109350,1020000000000.0,35899525.0,JP,2004-09-14,A,2004266751,JP,2006-02-02,A,2006033784
1298609511,1020000000000.0,72048701.0,KR,2019-11-25,W,2019016216,WO,2021-03-11,A1,2021045319
