,BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
681,6818100057,['주식회사 케이씨'],2010-12-14,2.02E+12,대면적 기판의 접촉식 세정장치,"['B08B 1/04', 'B08B 1/02', 'B08B 1/00', 'A46B 13/00', 'A46B 15/00']",,거절
682,8738103817,,,,,,,
683,6118105148,,,,,,,
684,4038106380,,,,,,,
685,1168103488,,,,,,,
686,6938109489,,,,,,,
687,1018102956,,,,,,,
688,4158103805,,,,,,,
689,5418704010,,,,,,,
690,6018105506,,,,,,,
691,1170707413,,,,,,,
692,1138103339,,,,,,,
693,1068600793,,,,,,,
694,7068108371,,,,,,,
695,2068107359,,,,,,,
696,1408103126,,,,,,,
697,4159007079,,,,,,,
698,3368601390,,,,,,,
699,2368807833,,,,,,,
700,1058709404,,,,,,,
701,5148102245,,,,,,,
702,3978605759,,,,,,,
703,7418700474,,,,,,,
704,1348103007,,,,,,,
705,5288801295,,,,,,,
706,8108806367,,,,,,,
707,1138600716,,,,,,,
708,2208109727,,,,,,,
709,1221300612,,,,,,,
710,4178108736,,,,,,,
711,1078709771,,,,,,,
712,8938807338,,,,,,,
713,3338800588,,,,,,,
714,1018703275,,,,,,,
715,1068100299,,,,,,,
716,6068109174,,,,,,,
717,4678702653,,,,,,,
718,2138602945,,,,,,,
719,3178108025,,,,,,,
720,1262908649,,,,,,,
721,1061005623,,,,,,,
722,1078101171,,,,,,,
723,8498703757,,,,,,,
724,1058708189,,,,,,,
725,1050203819,,,,,,,
726,3708603182,,,,,,,
727,1191208618,,,,,,,
728,2518603719,,,,,,,
729,1198600785,,,,,,,
730,1348605887,,,,,,,
731,5348805724,,,,,,,
732,1448107355,,,,,,,
733,4608603012,,,,,,,
734,3958109982,,,,,,,
735,1171408293,,,,,,,
736,1108101974,,,,,,,
737,6098109328,,,,,,,
738,3018603838,,,,,,,
739,3748103645,,,,,,,
740,1138600112,,,,,,,
741,1308105065,,,,,,,
742,4608108417,,,,,,,
743,3148102346,,,,,,,
744,3018109288,,,,,,,
745,1221605729,,,,,,,
746,6078506473,,,,,,,
747,1058709497,,,,,,,
748,4038101013,,,,,,,
749,1198100562,,,,,,,
750,1228600884,,,,,,,
751,1098605914,,,,,,,
752,2208807204,,,,,,,
753,6218601419,,,,,,,
754,1148603026,,,,,,,
755,7038609863,,,,,,,
756,5040700038,,,,,,,
757,1088102070,,,,,,,
758,6698707480,,,,,,,
759,3148105573,,,,,,,
760,6208107410,,,,,,,
761,1028105063,,,,,,,
762,1178103185,,,,,,,
763,5028102632,,,,,,,
764,1208106173,,,,,,,
765,4488707951,,,,,,,
766,4158102978,,,,,,,
767,2998606984,,,,,,,
768,1298103341,,,,,,,
769,6178602115,,,,,,,
770,3748809954,,,,,,,
771,1098107463,,,,,,,
772,1018603994,,,,,,,
773,1058601562,,,,,,,
774,2118604634,,,,,,,
775,1178101699,,,,,,,
776,5028102841,,,,,,,
777,5508707130,,,,,,,
778,1108104262,,,,,,,
779,1358101867,,,,,,,
780,1208707763,,,,,,,
781,5179606382,,,,,,,
782,1101900371,,,,,,,
783,3128600802,,,,,,,
784,3058104174,,,,,,,
785,1168103752,,,,,,,
786,5028606523,,,,,,,
787,1448102072,,,,,,,
788,8309205153,,,,,,,
789,4098606052,,,,,,,
790,5978801848,,,,,,,
791,1068609382,,,,,,,
792,3138106717,,,,,,,
793,1058708085,,,,,,,
794,1058100544,,,,,,,
795,6928706544,,,,,,,
796,2248102897,,,,,,,
797,1428104631,,,,,,,
798,1068601546,,,,,,,
799,2148709653,,,,,,,
800,1148600671,,,,,,,
801,3398102590,,,,,,,
802,2208807095,,,,,,,
803,8448109257,,,,,,,
804,1228600209,,,,,,,
805,1208702399,,,,,,,
806,1198104565,,,,,,,
807,3148606209,,,,,,,
808,1198603051,,,,,,,
809,6678607664,,,,,,,
810,1061206414,,,,,,,
811,4128109464,,,,,,,
812,3148100446,,,,,,,
813,4168103033,,,,,,,
814,1058703893,,,,,,,
815,5538608567,,,,,,,
816,4188101799,,,,,,,
817,6078109254,,,,,,,
818,3168105692,,,,,,,
819,1078808428,,,,,,,
820,1208603147,,,,,,,
821,5088107166,,,,,,,
822,5768804063,,,,,,,
823,6478808242,,,,,,,
824,4178102444,,,,,,,
825,4168101559,,,,,,,
826,1098104872,,,,,,,
827,6778607024,,,,,,,
828,2898805446,,,,,,,
829,1208104404,,,,,,,
830,2348107620,,,,,,,
831,1448100853,,,,,,,
832,2248100078,,,,,,,
833,2048602602,,,,,,,
834,5148105975,,,,,,,
835,8108805682,,,,,,,
836,6158109705,,,,,,,
837,1191805561,,,,,,,
838,3768700602,,,,,,,
839,6028107977,,,,,,,
840,1058709563,,,,,,,
841,3658801502,,,,,,,
842,2148704243,,,,,,,
843,1058708716,,,,,,,
844,2118701736,,,,,,,
845,1058103374,,,,,,,
846,4018106987,,,,,,,
847,1198608641,,,,,,,
848,6598806875,,,,,,,
849,1130200652,,,,,,,
850,2068601218,,,,,,,
851,2018606711,,,,,,,
852,1050706952,,,,,,,
853,1968603655,,,,,,,
854,4178108580,,,,,,,
855,5028606489,,,,,,,
856,1058707898,,,,,,,
857,2208806127,,,,,,,
858,4038100788,,,,,,,
859,4028103343,,,,,,,
860,1638500395,,,,,,,
861,1198105539,,,,,,,
862,1228109408,,,,,,,
863,2208104635,,,,,,,
864,1208603988,,,,,,,
865,6168605708,,,,,,,
866,1358604383,,,,,,,
867,5038108361,,,,,,,
868,6915103608,,,,,,,
869,1273000144,,,,,,,
