,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
487,3788804823,,,,,,
488,1231400906,,,,,,
489,4188107190,,,,,,
490,1228105945,,,,,,
491,5038101871,,,,,,
492,1128109147,,,,,,
493,1358106065,,,,,,
494,8264803025,,,,,,
495,2018602817,,,,,,
496,6048106300,8246707,체인파트너스,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
497,7018602289,,,,,,
498,1058701491,,,,,,
499,2218101127,,,,,,
500,1138602016,,,,,,
501,2208801099,,,,,,
502,1351002779,,,,,,
503,1198101533,,,,,,
504,2118802259,,,,,,
505,8468601196,6811690,더파인,중소기업,C2,2022-07-19,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
506,6138105085,,,,,,
507,1198600822,,,,,,
508,1378109644,,,,,,
509,6548608600,,,,,,
510,2068102135,,,,,,
511,2110807573,,,,,,
512,2068604982,,,,,,
513,2148607567,,,,,,
514,1208701124,,,,,,
515,1358600761,,,,,,
516,1078600909,,,,,,
517,8838800993,,,,,,
518,7578604646,,,,,,
519,2078100614,1155734,트릭아이미술관(주),중소기업,B3,2022-05-15,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
520,1048605327,,,,,,
521,1818703717,,,,,,
522,6128104657,,,,,,
523,5685008240,,,,,,
524,8628708038,,,,,,
525,1058601100,,,,,,
526,1058608096,,,,,,
527,5028604772,,,,,,
528,3018606021,,,,,,
529,1208601438,,,,,,
530,5578609695,,,,,,
531,5998707060,,,,,,
532,4728105210,8773236,경도산업,중소기업,B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
533,2148107135,,,,,,
534,6138106686,,,,,,
535,2308101527,,,,,,
536,8638602490,,,,,,
537,2388101442,,,,,,
538,3148107657,,,,,,
539,1018504814,,,,,,
540,5038501423,3757780,한길씨앤씨(주),중소기업,B2,2022-03-31,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
541,1018604423,,,,,,
